Año,Trimestre,Banda ancha fija,Dial up,Total,id_provincia
2015,1,39244,8.0,39252,22
2015,1,32726,730.0,33456,23
2015,1,138184,92.0,138276,24
2014,4,2801178,15229.0,2816407,1
2014,4,1318526,11994.0,1330520,2
2014,4,25472,21.0,25493,3
2014,4,65998,37.0,66035,4
2014,4,66557,1985.0,68542,5
2014,4,590113,319.0,590432,6
2014,4,65656,54.0,65710,7
2014,4,140567,246.0,140813,8
2014,4,26156,51.0,26207,9
2014,4,35999,3.0,36002,10
2014,4,56813,567.0,57380,11
2014,4,16379,23.0,16402,12
2014,4,167766,1848.0,169614,13
2014,4,77222,7.0,77229,14
2014,4,92999,2397.0,95396,15
2014,4,95050,1210.0,96260,16
2014,4,93921,26.0,93947,17
2014,4,51390,729.0,52119,18
2014,4,12788,359.0,13147,19
2014,4,25277,436.0,25713,20
2014,4,528459,938.0,529397,21
2014,4,39308,9.0,39317,22
2014,4,28249,741.0,28990,23
2014,4,137329,95.0,137424,24
